Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Rua;lat;lon
Engenho Novo;1;0;0;37;600.0;414.0;16.0;Rua Barata Ribeiro, 1282;-22.903295;-43.2642
Tijuca;2;0;0;90;1400.0;600.0;35.0;Rua Visconde de Pirajá, 970;-22.926732;-43.233154
Barra da Tijuca;3;2;1;120;4500.0;1100.0;650.0;Rua Barata Ribeiro, 1216;-23.001882;-43.364195
Ipanema;1;0;0;37;1800.0;490.0;40.0;Avenida Visconde de Pirajá, 1063;-22.981624;-43.212263
Recreio dos Bandeirantes;2;1;1;87;2000.0;600.0;176.0;Avenida das Camélias, 1135;-23.018345;-43.460745
Lagoa;2;1;1;85;2200.0;1225.0;278.0;Rua São João Batista, 1150;-22.974287;-43.207534
Vila Kosmos;2;1;0;70;1250.0;218.0;0.0;Rua Visconde de Pirajá, 577;-22.85545;-43.323281
Vista Alegre;2;0;0;60;700.0;210.0;0.0;Rua do Sacopã, 238;-22.834028;-43.306112
Ipanema;2;1;2;120;7500.0;2278.0;262.0;Rua Aristides Espínola, 34;-22.979749;-43.209787
Copacabana;4;0;0;103;2800.0;953.0;240.0;Rua São Clemente, 1195;-22.971418;-43.186227
Tijuca;2;0;0;75;1700.0;280.0;0.0;Rua Voluntários da Pátria, 462;-22.92896;-43.232894
Pechincha;2;1;1;69;1400.0;499.0;125.0;Avenida Santa Clara, 345;-22.913934;-43.341171
Ipanema;1;2;1;64;3770.0;1700.0;230.0;Rua Aristides Espínola, 1496;-22.98584;-43.209949
Copacabana;2;1;1;80;5000.0;500.0;302.0;Avenida Ataulfo de Paiva, 834;-22.975727;-43.177976
Copacabana;3;0;0;105;3200.0;1176.0;172.0;Rua das Palmeiras, 1200;-22.972972;-43.181969
São Francisco Xavier;2;1;1;58;1000.0;603.0;35.0;Rua Barata Ribeiro, 776;-22.902421;-43.22549
Tijuca;2;0;0;89;1400.0;60.0;0.0;Avenida das Camélias, 284;-22.923167;-43.233953
Praça Seca;2;1;1;65;1000.0;515.0;0.0;Avenida das Laranjeiras, 729;-22.88952;-43.336754
Laranjeiras;4;2;3;284;9000.0;3200.0;0.0;Rua Aristides Espínola, 219;-22.929654;-43.188019
Campo Grande;2;1;0;50;600.0;330.0;0.0;Rua Visconde de Pirajá, 586;-22.905515;-43.557151
Recreio dos Bandeirantes;2;1;1;105;2300.0;648.0;156.0;Rua das Flores, 119;-23.020359;-43.46932
Botafogo;2;0;0;70;2300.0;1065.0;134.0;Rua Vinícius de Moraes, 1086;-22.948711;-43.183196
Pechincha;2;1;0;80;1000.0;500.0;143.0;Rua dos Ipês, 731;-22.913618;-43.338091
Jacarepaguá;2;1;0;60;1500.0;380.0;0.0;Avenida das Palmeiras, 498;-22.954148;-43.367089
Copacabana;4;1;0;150;7000.0;1500.0;261.0;Rua Bolívar, 1496;-22.967428;-43.187158
Recreio dos Bandeirantes;3;2;1;84;2150.0;711.0;19.0;Avenida Voluntários da Pátria, 663;-23.019767;-43.461806
Ipanema;3;1;1;262;4300.0;1595.0;736.0;Rua Aristides Espínola, 337;-22.986358;-43.21404
Ipanema;3;1;1;108;8000.0;1352.0;350.0;Rua Voluntários da Pátria, 377;-22.978573;-43.215552
Barra da Tijuca;3;2;1;112;2200.0;1752.0;256.0;Rua Silva Rabelo, 497;-23.008113;-43.368291
Ipanema;3;1;1;180;8000.0;2760.0;465.0;Rua Vinícius de Moraes, 1044;-22.98242;-43.204917
Leblon;2;1;0;70;2500.0;840.0;176.0;Rua São Clemente, 1446;-22.985414;-43.228583
Ipanema;3;1;1;110;3500.0;812.0;285.0;Rua das Flores, 1254;-22.982338;-43.21227
Lagoa;2;2;1;100;3600.0;750.0;150.0;Avenida Marquês de Abrantes, 1011;-22.973579;-43.202872
Barra da Tijuca;4;3;3;222;8000.0;2700.0;4390.0;Rua Real Grandeza, 1448;-23.002787;-43.368723
Cosme Velho;3;2;2;110;3750.0;1280.0;0.0;Rua São Clemente, 102;-22.940914;-43.197512
Ipanema;1;0;0;40;2400.0;380.0;80.0;Avenida Figueiredo Magalhães, 806;-22.979934;-43.213
Leblon;3;1;0;120;5800.0;1072.0;297.0;Avenida Bartolomeu Mitre, 272;-22.986481;-43.230137
Ipanema;3;1;1;116;10000.0;1700.0;430.0;Rua Voluntários da Pátria, 590;-22.989178;-43.206529
Tijuca;2;1;0;73;1700.0;500.0;0.0;Rua Timóteo da Costa, 323;-22.928735;-43.22969
Barra da Tijuca;3;2;1;96;3400.0;1450.0;0.0;Rua Álvaro Ramos, 133;-23.006789;-43.368562
Leme;2;0;0;64;2000.0;1100.0;0.0;Avenida Prudente de Morais, 95;-22.967998;-43.170695
Copacabana;2;0;0;90;3200.0;800.0;80.0;Avenida Voluntários da Pátria, 1022;-22.974548;-43.1773
Recreio dos Bandeirantes;2;1;1;70;2200.0;650.0;0.0;Rua Conde de Bonfim, 201;-23.027314;-43.467362
Laranjeiras;2;1;0;55;1800.0;1050.0;97.0;Rua Álvaro Ramos, 920;-22.93514;-43.18479
Campo Grande;2;1;0;65;500.0;300.0;0.0;Rua São João Batista, 1318;-22.905645;-43.55835
Barra da Tijuca;4;4;4;466;16000.0;4000.0;12000.0;Rua das Camélias, 89;-23.006636;-43.364142
Leblon;2;2;2;234;10000.0;3250.0;650.0;Rua General San Martin, 735;-22.980946;-43.228448
Barra da Tijuca;3;2;1;149;3300.0;2200.0;400.0;Rua Uruguai, 1428;-23.008286;-43.369865
Leblon;3;1;1;150;7500.0;1700.0;497.0;Rua Voluntários da Pátria, 904;-22.982418;-43.225923
São Conrado;4;3;2;280;11999.0;2800.0;1200.0;Rua Aristides Espínola, 641;-23.004693;-43.261289
Méier;4;2;2;130;3000.0;1200.0;240.0;Rua das Palmeiras, 650;-22.905207;-43.285331
Leblon;3;2;3;360;30000.0;3300.0;1000.0;Rua Aristides Espínola, 1029;-22.9792;-43.227571
Copacabana;3;0;0;140;3500.0;1100.0;220.0;Rua Voluntários da Pátria, 1008;-22.97637;-43.186363
Barra da Tijuca;3;1;1;96;3400.0;1300.0;0.0;Avenida Barão de Ipanema, 1139;-23.005232;-43.36219
Ipanema;4;3;2;280;10000.0;4800.0;0.0;Avenida das Camélias, 1250;-22.977893;-43.206548
Copacabana;3;0;0;66;3200.0;893.0;146.0;Avenida Vinícius de Moraes, 718;-22.968337;-43.178578
Botafogo;4;0;0;132;7950.0;1682.0;340.0;Avenida das Flores, 652;-22.950241;-43.186521
Lagoa;1;1;1;85;3000.0;1123.0;387.0;Avenida Visconde de Pirajá, 380;-22.971763;-43.200008
Recreio dos Bandeirantes;3;2;3;200;3900.0;1000.0;450.0;Avenida Marquês de Abrantes, 1361;-23.021685;-43.463317
Barra da Tijuca;2;1;1;71;1500.0;720.0;0.0;Rua General San Martin, 1462;-23.003618;-43.36405
Barra da Tijuca;3;4;3;336;18000.0;4242.0;1011.0;Rua São João Batista, 667;-23.00744;-43.362303
Ipanema;4;1;1;260;9000.0;4150.0;925.0;Avenida São João Batista, 771;-22.987266;-43.213332
Encantado;1;1;0;44;500.0;346.0;0.0;Rua Álvaro Ramos, 1315;-22.893618;-43.260596
Leblon;4;2;3;202;18000.0;3737.0;0.0;Rua General San Martin, 772;-22.986085;-43.228097
Copacabana;3;0;1;270;10000.0;2350.0;650.0;Rua Uruguai, 522;-22.971691;-43.179184
Barra da Tijuca;1;1;1;45;910.0;640.0;12.0;Avenida Voluntários da Pátria, 255;-23.00736;-43.367662
Botafogo;1;0;0;45;1500.0;560.0;0.0;Rua Conde de Bonfim, 380;-22.946042;-43.188777
Ipanema;4;2;1;160;16000.0;3500.0;800.0;Rua Voluntários da Pátria, 512;-22.989099;-43.20612
Barra da Tijuca;4;2;1;121;2800.0;1190.0;209.0;Avenida Uruguai, 1442;-23.002555;-43.363432
Recreio dos Bandeirantes;3;1;1;83;2000.0;790.0;1655.0;Rua Uruguai, 742;-23.022032;-43.462586
Barra da Tijuca;2;1;1;80;3500.0;1200.0;150.0;Rua dos Ipês, 1443;-23.002047;-43.370061
São Conrado;2;1;1;110;2900.0;1396.0;210.0;Avenida Barata Ribeiro, 347;-23.00478;-43.257767
Ipanema;4;3;4;310;31000.0;6070.0;0.0;Avenida Figueiredo Magalhães, 200;-22.983502;-43.204466
Flamengo;2;1;1;95;4000.0;930.0;187.0;Rua Bartolomeu Mitre, 493;-22.934612;-43.173422
São Cristóvão;2;1;1;55;1900.0;575.0;0.0;Rua dos Ipês, 983;-22.902021;-43.226658
Barra da Tijuca;2;1;1;80;2500.0;1310.0;0.0;Rua das Laranjeiras, 417;-23.002713;-43.36166
Recreio dos Bandeirantes;3;1;1;58;1500.0;703.0;0.0;Rua Figueiredo Magalhães, 275;-23.030013;-43.46992
Freguesia (Jacarepaguá);2;0;0;58;900.0;445.0;0.0;Rua São João Batista, 948;-22.944858;-43.347711
Leblon;2;0;2;60;5000.0;350.0;0.0;Rua Mena Barreto, 214;-22.978572;-43.220922
Gávea;3;2;1;200;6900.0;2642.0;0.0;Rua São Clemente, 591;-22.976131;-43.237761
Pechincha;3;1;1;85;1300.0;765.0;0.0;Rua São João Batista, 1263;-22.919466;-43.344342
Freguesia (Jacarepaguá);4;2;2;234;3000.0;1000.0;0.0;Rua Prudente de Morais, 56;-22.935878;-43.342067
Ipanema;3;1;1;125;5500.0;1710.0;220.0;Rua das Flores, 498;-22.981125;-43.20906
Campo Grande;2;1;0;65;1000.0;338.0;0.0;Rua Barata Ribeiro, 935;-22.897973;-43.555008
Botafogo;3;1;1;103;3500.0;1245.0;1619.0;Rua das Acácias, 665;-22.952935;-43.187058
Centro;1;1;0;38;1500.0;530.0;0.0;Rua Barata Ribeiro, 431;-22.904573;-43.178421
Ipanema;4;3;1;600;42000.0;6500.0;180.0;Rua das Acácias, 916;-22.981609;-43.207887
Laranjeiras;2;1;1;95;3100.0;879.0;182.0;Rua Ataulfo de Paiva, 1061;-22.928191;-43.1856
Centro;1;0;0;30;900.0;320.0;0.0;Rua Figueiredo Magalhães, 423;-22.909965;-43.1755
Botafogo;1;0;0;40;1700.0;400.0;24.0;Rua General Polidoro, 337;-22.953499;-43.188008
Copacabana;2;0;0;71;2400.0;605.0;0.0;Rua Barata Ribeiro, 131;-22.967448;-43.18295
Tijuca;2;1;0;90;1700.0;470.0;91.0;Rua das Laranjeiras, 522;-22.92606;-43.239661
Campinho;2;1;1;60;1500.0;550.0;0.0;Rua das Laranjeiras, 393;-22.881909;-43.323311
Campo Grande;2;1;0;48;790.0;280.0;0.0;Rua Mena Barreto, 313;-22.901759;-43.556895
Pechincha;2;1;1;60;1100.0;656.0;16.0;Avenida Ataulfo de Paiva, 624;-22.923262;-43.346261
Copacabana;4;2;1;300;9500.0;2800.0;500.0;Rua Mena Barreto, 633;-22.977077;-43.176765
Lagoa;1;1;0;66;2100.0;630.0;226.0;Rua das Camélias, 700;-22.97299;-43.198625
Botafogo;3;1;1;101;5600.0;1310.0;270.0;Avenida das Acácias, 1275;-22.946207;-43.192228
Flamengo;4;1;2;365;8500.0;2100.0;950.0;Rua Mena Barreto, 998;-22.927653;-43.178743
Barra da Tijuca;4;2;1;120;3000.0;2100.0;300.0;Avenida Timóteo da Costa, 933;-23.00431;-43.364722
Jardim Oceânico;4;3;2;400;15000.0;2200.0;1400.0;Rua Prudente de Morais, 296;-23.010867;-43.313999
Leme;3;1;1;336;12000.0;2800.0;0.0;Rua Voluntários da Pátria, 800;-22.96818;-43.165977
Barra da Tijuca;3;2;2;173;5499.0;2450.0;395.0;Avenida Santa Clara, 1323;-23.006008;-43.362978
Ipanema;2;0;0;90;9800.0;1133.0;0.0;Rua das Laranjeiras, 717;-22.983236;-43.205761
Copacabana;2;0;0;90;3000.0;800.0;218.0;Rua Barão de Ipanema, 464;-22.966715;-43.183564
Centro;1;0;0;21;900.0;289.0;20.0;Rua Real Grandeza, 651;-22.906576;-43.172362
Flamengo;2;1;0;70;1800.0;950.0;100.0;Rua General Polidoro, 1385;-22.936186;-43.171398
Recreio dos Bandeirantes;3;1;1;92;3000.0;804.0;1652.0;Rua General San Martin, 1244;-23.027712;-43.465679
Recreio dos Bandeirantes;3;3;1;190;3000.0;1533.0;381.0;Rua São João Batista, 883;-23.028534;-43.461481
Botafogo;1;0;0;40;1500.0;550.0;57.0;Rua das Acácias, 402;-22.951778;-43.192268
Recreio dos Bandeirantes;3;2;1;220;2500.0;1000.0;500.0;Rua São João Batista, 148;-23.026088;-43.464611
Leblon;4;3;3;509;25000.0;4819.0;2341.0;Rua Conde de Bonfim, 916;-22.988924;-43.228272
Copacabana;3;2;2;154;5200.0;1490.0;315.0;Rua General San Martin, 145;-22.974966;-43.177619
Copacabana;1;1;0;54;2400.0;613.0;131.0;Rua Conde de Bonfim, 1438;-22.966591;-43.184656
Barra da Tijuca;3;3;2;250;5800.0;2550.0;657.0;Rua das Palmeiras, 894;-22.999168;-43.362421
Campo Grande;2;0;0;47;800.0;60.0;0.0;Rua das Palmeiras, 599;-22.897331;-43.551137
Camorim;3;2;2;64;1700.0;968.0;0.0;Rua Aristides Espínola, 418;-22.978614;-43.395943
Gávea;4;3;2;240;6000.0;3250.0;400.0;Rua Bartolomeu Mitre, 245;-22.978762;-43.237416
Lagoa;2;2;1;100;3600.0;750.0;150.0;Avenida Vinícius de Moraes, 226;-22.976415;-43.20788
Engenho de Dentro;2;1;1;70;1200.0;767.0;37.0;Rua Ataulfo de Paiva, 311;-22.894137;-43.285836
Praça da Bandeira;1;0;0;35;400.0;130.0;0.0;Rua Timóteo da Costa, 981;-22.913343;-43.215827
Copacabana;2;0;0;81;2500.0;800.0;90.0;Rua Marquês de Abrantes, 358;-22.976052;-43.182908
Barra da Tijuca;4;4;4;230;18000.0;5000.0;2000.0;Rua das Flores, 705;-23.006035;-43.370138
Leblon;4;1;1;100;5500.0;1400.0;0.0;Avenida Prudente de Morais, 640;-22.977915;-43.218545
Gávea;3;1;0;120;4700.0;1252.0;235.0;Rua Voluntários da Pátria, 31;-22.981932;-43.234617
Pilares;3;2;1;82;2200.0;630.0;70.0;Rua das Flores, 278;-22.883157;-43.295162
Leblon;4;2;0;261;8500.0;3000.0;620.0;Avenida Barata Ribeiro, 369;-22.981207;-43.226215
Copacabana;4;2;1;279;3600.0;2025.0;370.0;Rua São João Batista, 237;-22.970639;-43.18599
Campo Grande;2;1;0;50;1100.0;350.0;0.0;Rua Aristides Espínola, 266;-22.907261;-43.555153
Copacabana;1;0;0;50;1300.0;420.0;24.0;Rua General Polidoro, 826;-22.965943;-43.187684
Botafogo;3;2;2;130;4200.0;1350.0;326.0;Rua Conde de Bonfim, 1084;-22.954893;-43.187267
Leblon;2;1;0;60;3200.0;1380.0;191.0;Rua Barata Ribeiro, 1354;-22.98714;-43.228179
Ipanema;3;1;0;116;4300.0;1290.0;234.0;Rua Dias Ferreira, 997;-22.980242;-43.204237
Leme;2;0;0;75;2500.0;760.0;177.0;Rua Barão de Ipanema, 539;-22.96414;-43.164838
Barra da Tijuca;2;2;1;90;2800.0;1300.0;400.0;Rua das Palmeiras, 595;-23.002815;-43.364446
Barra da Tijuca;2;1;0;65;1300.0;760.0;120.0;Rua das Palmeiras, 1234;-23.00674;-43.360838
Barra da Tijuca;3;2;1;104;3200.0;1938.0;3310.0;Rua Bartolomeu Mitre, 1387;-23.005191;-43.361958
Catete;1;1;0;45;1700.0;725.0;0.0;Rua Conde de Bonfim, 404;-22.925933;-43.179382
Copacabana;2;0;0;70;2400.0;600.0;134.0;Avenida Barão de Ipanema, 1006;-22.972699;-43.17959
Recreio dos Bandeirantes;2;2;1;99;1700.0;618.0;1075.0;Avenida Conde de Bonfim, 1275;-23.023634;-43.467017
Ipanema;3;3;2;260;18000.0;2670.0;900.0;Rua Barata Ribeiro, 1202;-22.986284;-43.204159
Barra da Tijuca;4;3;3;200;8500.0;2160.0;350.0;Rua Santa Clara, 883;-22.998898;-43.362556
Rio Comprido;1;0;0;33;800.0;275.0;24.0;Rua General San Martin, 1045;-22.917975;-43.21503
Tijuca;2;1;1;70;1850.0;550.0;0.0;Rua Silva Rabelo, 974;-22.920779;-43.237828
Méier;3;1;0;66;1300.0;367.0;0.0;Rua Mena Barreto, 615;-22.903764;-43.283802
Barra da Tijuca;2;1;1;93;3000.0;1048.0;279.0;Rua do Sacopã, 681;-23.002709;-43.364112
São Conrado;4;3;1;358;12000.0;10900.0;2200.0;Rua dos Ipês, 471;-23.001366;-43.26451
Jardim Botânico;2;1;2;79;2800.0;1727.0;193.0;Rua das Laranjeiras, 929;-22.970218;-43.219621
Pechincha;2;1;1;78;1200.0;650.0;120.0;Rua General San Martin, 1149;-22.923721;-43.345562
Leme;4;4;2;280;18000.0;2565.0;1024.0;Rua Marquês de Abrantes, 491;-22.959869;-43.173463
Ipanema;3;1;1;120;5000.0;2000.0;774.0;Rua Figueiredo Magalhães, 1358;-22.982707;-43.208138
Andaraí;3;2;1;103;1600.0;700.0;160.0;Rua Bolívar, 465;-22.93156;-43.245495
Leblon;3;1;0;140;6500.0;2055.0;498.0;Rua das Palmeiras, 1094;-22.978911;-43.229354
Barra da Tijuca;2;2;1;105;4300.0;2442.0;651.0;Rua Visconde de Pirajá, 1243;-22.999516;-43.364777
Barra da Tijuca;1;1;1;72;1800.0;920.0;198.0;Rua Conde de Bonfim, 409;-23.00125;-43.364996
Ipanema;1;1;1;110;9000.0;2900.0;670.0;Rua Figueiredo Magalhães, 730;-22.982726;-43.205218
Tijuca;2;1;0;66;2200.0;712.0;65.0;Avenida Silva Rabelo, 584;-22.920287;-43.230421
Ipanema;4;2;0;240;15000.0;5000.0;752.0;Rua São João Batista, 724;-22.977842;-43.213769
Copacabana;3;0;0;128;3000.0;1200.0;125.0;Rua São João Batista, 943;-22.967519;-43.177297
Botafogo;1;1;0;73;2500.0;650.0;122.0;Rua Uruguai, 40;-22.952771;-43.186576
Barra da Tijuca;4;3;3;160;8500.0;2300.0;345.0;Rua Barão de Ipanema, 1195;-23.004463;-43.360728
Ipanema;4;0;3;245;13000.0;2200.0;730.0;Rua das Palmeiras, 580;-22.985114;-43.209252
Leblon;3;1;0;120;4700.0;1650.0;179.0;Rua dos Ipês, 1038;-22.984107;-43.227437
Botafogo;1;0;0;30;1400.0;481.0;26.0;Rua Bolívar, 811;-22.952679;-43.187712
Irajá;2;0;0;50;1000.0;260.0;0.0;Rua das Palmeiras, 19;-22.832444;-43.327512
Leblon;2;2;2;175;15000.0;5000.0;550.0;Rua Voluntários da Pátria, 318;-22.978908;-43.229647
Curicica;2;1;0;47;1400.0;550.0;120.0;Avenida Conde de Bonfim, 600;-22.953515;-43.387937
Flamengo;3;2;1;100;3100.0;950.0;271.0;Rua Aristides Espínola, 612;-22.931135;-43.178813
Recreio dos Bandeirantes;4;3;1;200;3300.0;1000.0;400.0;Avenida Marquês de Abrantes, 1063;-23.023762;-43.466885
Jardim Botânico;4;2;1;150;7000.0;1100.0;0.0;Rua das Flores, 837;-22.964752;-43.227159
Laranjeiras;2;0;0;67;1900.0;760.0;124.0;Rua Bartolomeu Mitre, 1349;-22.932359;-43.17987
Leblon;3;3;2;280;24000.0;4955.0;1180.0;Rua Uruguai, 731;-22.981091;-43.228971
Barra da Tijuca;3;1;1;103;2600.0;1350.0;230.0;Rua do Sacopã, 209;-22.999474;-43.361318
Leblon;3;1;0;201;14000.0;6000.0;0.0;Rua Barata Ribeiro, 1088;-22.988965;-43.224581
Praça Seca;1;1;1;70;600.0;481.0;17.0;Rua Aristides Espínola, 783;-22.894572;-43.336469
Jacarepaguá;2;1;0;61;1700.0;550.0;130.0;Rua das Camélias, 162;-22.96209;-43.359985
Ipanema;4;3;4;320;29500.0;5700.0;1500.0;Rua das Acácias, 925;-22.987339;-43.205925
Vargem Grande;2;1;1;70;990.0;487.0;27.0;Rua Bartolomeu Mitre, 101;-22.973146;-43.491187
Botafogo;1;0;0;31;1400.0;431.0;29.0;Rua Voluntários da Pátria, 541;-22.952514;-43.19027
Barra da Tijuca;2;1;1;62;2700.0;1269.0;212.0;Rua das Acácias, 286;-23.005108;-43.369638
Barra da Tijuca;2;2;1;65;2200.0;1200.0;120.0;Avenida General Polidoro, 1029;-23.002352;-43.370146
Copacabana;4;2;2;354;12400.0;3825.0;1379.0;Rua Bolívar, 237;-22.974919;-43.188031
Ipanema;3;0;1;145;6999.0;700.0;130.0;Rua das Camélias, 272;-22.987179;-43.205127
São Cristóvão;1;0;0;56;850.0;450.0;15.0;Avenida Dias Ferreira, 58;-22.89562;-43.225431
Copacabana;1;0;0;42;1800.0;1697.0;37.0;Rua Prudente de Morais, 266;-22.968312;-43.178924
Ipanema;2;1;0;78;3600.0;644.0;128.0;Rua Ataulfo de Paiva, 986;-22.985188;-43.205182
Barra da Tijuca;3;1;1;105;3700.0;1400.0;270.0;Rua Santa Clara, 768;-23.001104;-43.361063
Flamengo;1;0;0;38;1850.0;467.0;29.0;Avenida São Clemente, 40;-22.930184;-43.17864
Lagoa;4;4;4;400;25000.0;4200.0;1500.0;Rua General Polidoro, 233;-22.979251;-43.199998
Leblon;3;2;1;156;13000.0;2800.0;0.0;Avenida Bartolomeu Mitre, 115;-22.987559;-43.224131
Copacabana;2;0;1;70;2200.0;578.0;95.0;Avenida do Sacopã, 425;-22.976734;-43.182618
Vila Isabel;2;1;0;135;2300.0;570.0;100.0;Rua Figueiredo Magalhães, 1227;-22.91319;-43.238748
Campo Grande;2;0;0;55;800.0;350.0;2.0;Rua Bolívar, 1225;-22.90097;-43.556358
Flamengo;4;1;2;190;6000.0;1700.0;420.0;Avenida Bolívar, 722;-22.929283;-43.172717
Recreio dos Bandeirantes;2;1;1;79;1900.0;884.0;1445.0;Rua das Camélias, 72;-23.020517;-43.46205
Lagoa;2;1;0;80;3500.0;980.0;1300.0;Rua Vinícius de Moraes, 1053;-22.976743;-43.199319
São Conrado;3;2;3;196;11500.0;2606.0;969.0;Rua São João Batista, 203;-23.005712;-43.263536
Barra da Tijuca;1;1;1;60;1500.0;960.0;142.0;Avenida Aristides Espínola, 332;-22.999741;-43.369125
Barra da Tijuca;3;1;3;80;2800.0;1300.0;140.0;Rua General Polidoro, 107;-22.998569;-43.363743
Copacabana;2;2;1;90;7000.0;3352.0;354.0;Avenida Barata Ribeiro, 610;-22.976201;-43.181121
Botafogo;1;0;0;70;1800.0;650.0;70.0;Rua São Clemente, 1035;-22.952562;-43.185629
Recreio dos Bandeirantes;3;3;1;148;3600.0;900.0;10.0;Avenida Conde de Bonfim, 531;-23.024539;-43.463834
Copacabana;2;0;0;72;2250.0;850.0;72.0;Rua Barão de Ipanema, 522;-22.976953;-43.186692
Copacabana;4;1;2;220;15000.0;2159.0;616.0;Rua das Camélias, 1199;-22.96582;-43.180671
Ipanema;4;1;2;210;7000.0;2900.0;717.0;Rua Santa Clara, 933;-22.986697;-43.205763
Laranjeiras;3;1;1;120;4000.0;1500.0;150.0;Avenida Real Grandeza, 601;-22.928483;-43.182246
Vila da Penha;2;1;0;72;1250.0;220.0;0.0;Rua Bartolomeu Mitre, 97;-22.835509;-43.31159
Lagoa;3;1;1;131;4300.0;1250.0;284.0;Rua das Laranjeiras, 1114;-22.979181;-43.202988
Taquara;2;1;0;63;1100.0;481.0;0.0;Rua Ataulfo de Paiva, 1410;-22.919519;-43.355256
Ipanema;2;1;0;90;4000.0;1550.0;187.0;Avenida Bartolomeu Mitre, 114;-22.988989;-43.209911
Copacabana;3;1;0;77;3000.0;958.0;141.0;Rua Vinícius de Moraes, 1219;-22.976881;-43.187901
Tijuca;4;1;1;190;2800.0;900.0;180.0;Rua das Acácias, 359;-22.930171;-43.238505
Ipanema;3;1;1;160;8500.0;1300.0;370.0;Rua Santa Clara, 1316;-22.981037;-43.204204
Recreio dos Bandeirantes;5;2;4;280;5000.0;1100.0;606.0;Rua Aristides Espínola, 111;-23.023965;-43.462412
Leme;3;1;1;100;6000.0;1780.0;0.0;Avenida Voluntários da Pátria, 1040;-22.962029;-43.175077
Riachuelo;2;1;1;84;800.0;450.0;0.0;Rua Ataulfo de Paiva, 1115;-22.892274;-43.251933
Urca;3;1;1;220;13000.0;2757.0;544.0;Rua das Camélias, 1468;-22.952487;-43.164798
Irajá;2;1;0;54;1400.0;370.0;0.0;Rua Real Grandeza, 887;-22.828764;-43.331782
Barra da Tijuca;3;1;1;86;2000.0;759.0;0.0;Rua das Camélias, 187;-23.008741;-43.365816
Vila Isabel;2;0;0;92;1500.0;300.0;88.0;Rua Marquês de Abrantes, 262;-22.918555;-43.247412
Copacabana;3;2;1;140;4500.0;1450.0;230.0;Avenida Voluntários da Pátria, 49;-22.968417;-43.185857
Vargem Pequena;3;1;0;54;1200.0;390.0;28.0;Rua Marquês de Abrantes, 712;-22.980336;-43.465759
Barra da Tijuca;2;1;0;60;1300.0;704.0;0.0;Rua Figueiredo Magalhães, 239;-23.000396;-43.360017
Ipanema;4;1;1;220;9000.0;1800.0;498.0;Rua dos Ipês, 1142;-22.981158;-43.208616
Tijuca;1;1;0;68;1600.0;447.0;64.0;Rua Prudente de Morais, 664;-22.925473;-43.232159
Leblon;3;1;0;120;5500.0;1605.0;405.0;Rua Álvaro Ramos, 1169;-22.987636;-43.221422
Leblon;3;1;1;130;7500.0;1900.0;654.0;Rua Visconde de Pirajá, 416;-22.980224;-43.221541
Copacabana;1;0;0;38;1500.0;365.0;74.0;Avenida Bolívar, 569;-22.97148;-43.181053
Barra da Tijuca;3;2;1;130;9000.0;2433.0;807.0;Rua Ataulfo de Paiva, 87;-23.0;-43.369039
Botafogo;1;1;0;50;2600.0;660.0;107.0;Rua Timóteo da Costa, 1165;-22.94899;-43.190892
Barra da Tijuca;2;1;1;96;2500.0;1603.0;235.0;Rua Bartolomeu Mitre, 770;-23.004083;-43.370832
Leblon;1;0;0;19;1450.0;502.0;0.0;Rua Voluntários da Pátria, 350;-22.986141;-43.228336
Barra da Tijuca;2;1;1;78;4000.0;2750.0;0.0;Rua Vinícius de Moraes, 215;-23.003394;-43.366449
Copacabana;5;1;3;390;10000.0;1000.0;1000.0;Rua São João Batista, 1353;-22.974258;-43.187842
Copacabana;4;1;1;220;12000.0;1500.0;515.0;Rua das Laranjeiras, 855;-22.967124;-43.183736
Bonsucesso;3;1;0;87;1000.0;755.0;29.0;Rua Uruguai, 459;-22.861755;-43.251265
Ipanema;4;3;1;180;8000.0;1800.0;600.0;Avenida Bartolomeu Mitre, 1368;-22.98931;-43.211824
Copacabana;2;0;0;56;2300.0;767.0;130.0;Rua Bolívar, 739;-22.975784;-43.182703
Laranjeiras;2;0;0;90;2200.0;650.0;119.0;Avenida Vinícius de Moraes, 1460;-22.933043;-43.191457
Bangu;2;1;0;60;1000.0;200.0;0.0;Rua Voluntários da Pátria, 508;-22.876459;-43.464775
Gávea;2;1;1;68;2990.0;882.0;137.0;Rua Dias Ferreira, 1238;-22.981112;-43.231491
Vila Isabel;2;1;0;83;1100.0;600.0;98.0;Rua Marquês de Abrantes, 1454;-22.919649;-43.244423
Botafogo;2;1;2;82;4800.0;1150.0;197.0;Rua Uruguai, 991;-22.955801;-43.190884
Lapa;1;0;0;99;1800.0;650.0;48.0;Avenida do Sacopã, 425;-22.907397;-43.182874
São Conrado;3;3;1;230;10000.0;3612.0;12093.0;Rua dos Ipês, 985;-22.998025;-43.267314
Ipanema;2;0;0;60;2900.0;507.0;125.0;Avenida Barata Ribeiro, 1455;-22.983364;-43.212746
Ipanema;2;1;1;80;5000.0;1230.0;260.0;Rua Dias Ferreira, 369;-22.98429;-43.207969
Campo Grande;2;1;0;50;700.0;300.0;0.0;Rua Barão de Ipanema, 177;-22.898827;-43.559138
Leblon;4;2;0;167;4500.0;5000.0;750.0;Rua Álvaro Ramos, 1277;-22.986339;-43.224097
